Fecha,PET
24/10/2010,44.5604
01/11/2010,38.0909
09/11/2010,39.256
17/11/2010,37.1083
25/11/2010,37.2515
03/12/2010,36.7471
11/12/2010,41.6121
19/12/2010,37.8513
27/12/2010,22.5959
01/01/2011,38.7827
09/01/2011,34.5194
17/01/2011,44.7648
25/01/2011,42.031
02/02/2011,39.156
10/02/2011,44.2356
18/02/2011,50.5011
26/02/2011,56.0554
06/03/2011,54.4223
14/03/2011,51.7958
22/03/2011,59.4771
30/03/2011,63.4242
07/04/2011,65.0328
15/04/2011,57.749
23/04/2011,63.1805
01/05/2011,57.3683
09/05/2011,56.3877
17/05/2011,62.1448
25/05/2011,65.3227
02/06/2011,60.1746
10/06/2011,61.0403
18/06/2011,43.4629
26/06/2011,27.43
04/07/2011,33.8362
12/07/2011,36.6677
20/07/2011,46.3333
28/07/2011,38.8957
05/08/2011,50.4754
13/08/2011,56.3323
21/08/2011,45.1689
29/08/2011,34.1221
06/09/2011,48.3901
14/09/2011,52.1945
22/09/2011,48.0387
30/09/2011,40.9527
08/10/2011,37.8314
16/10/2011,46.337
24/10/2011,46.2154
01/11/2011,36.4437
09/11/2011,36.0318
17/11/2011,37.1789
25/11/2011,38.3694
03/12/2011,39.2522
11/12/2011,35.0586
19/12/2011,36.3137
27/12/2011,23.9925
01/01/2012,34.0791
09/01/2012,37.9374
17/01/2012,44.7889
25/01/2012,34.7418
02/02/2012,34.7204
10/02/2012,31.9719
18/02/2012,41.0432
26/02/2012,54.9788
05/03/2012,51.2668
13/03/2012,53.9269
21/03/2012,58.2813
29/03/2012,56.8663
06/04/2012,58.3363
14/04/2012,60.9117
22/04/2012,67.1344
30/04/2012,59.9091
08/05/2012,48.2231
16/05/2012,57.8723
24/05/2012,64.0476
01/06/2012,54.029
09/06/2012,56.9742
17/06/2012,34.491
25/06/2012,34.8889
03/07/2012,47.2332
11/07/2012,31.2132
19/07/2012,43.6479
27/07/2012,52.8061
04/08/2012,44.3719
12/08/2012,37.1635
20/08/2012,38.5693
28/08/2012,54.5911
05/09/2012,47.9056
13/09/2012,40.1606
21/09/2012,37.4909
29/09/2012,44.876
07/10/2012,42.0842
15/10/2012,45.7434
23/10/2012,38.9444
31/10/2012,31.2948
08/11/2012,36.2714
16/11/2012,33.5355
24/11/2012,33.5941
02/12/2012,37.6901
10/12/2012,37.0381
18/12/2012,37.0347
26/12/2012,26.3008
01/01/2013,27.6066
09/01/2013,38.728
17/01/2013,31.6548
25/01/2013,44.7078
02/02/2013,48.4497
10/02/2013,49.7232
18/02/2013,55.2235
26/02/2013,52.3766
06/03/2013,52.0115
14/03/2013,46.5455
22/03/2013,56.5675
30/03/2013,59.8672
07/04/2013,64.6085
15/04/2013,69.292
23/04/2013,53.2463
01/05/2013,62.4067
09/05/2013,46.8446
17/05/2013,51.5729
25/05/2013,49.5872
02/06/2013,54.9075
10/06/2013,43.0186
18/06/2013,43.7394
26/06/2013,53.1676
04/07/2013,34.886
12/07/2013,37.8845
20/07/2013,49.4821
28/07/2013,54.6196
05/08/2013,45.84
13/08/2013,52.9008
21/08/2013,39.9958
29/08/2013,35.1811
06/09/2013,20.6809
14/09/2013,20.6222
22/09/2013,39.4165
30/09/2013,43.7444
08/10/2013,43.9791
16/10/2013,30.2133
24/10/2013,35.5186
01/11/2013,32.6128
09/11/2013,27.5312
17/11/2013,33.4423
25/11/2013,32.7446
03/12/2013,38.5192
11/12/2013,31.871
19/12/2013,28.8881
27/12/2013,16.011
01/01/2014,31.8559
09/01/2014,35.0226
17/01/2014,38.8696
25/01/2014,39.8503
02/02/2014,44.8928
10/02/2014,50.6947
18/02/2014,47.5936
26/02/2014,49.6078
06/03/2014,48.7474
14/03/2014,56.7215
22/03/2014,60.1225
30/03/2014,59.8495
07/04/2014,62.9178
15/04/2014,51.5348
23/04/2014,53.8122
01/05/2014,50.0265
09/05/2014,49.3983
17/05/2014,51.6852
25/05/2014,32.0563
02/06/2014,36.3479
10/06/2014,52.2138
18/06/2014,37.0861
26/06/2014,25.0385
04/07/2014,32.1152
12/07/2014,46.7335
20/07/2014,58.8246
28/07/2014,57.6802
05/08/2014,44.6151
13/08/2014,46.9768
21/08/2014,54.3235
29/08/2014,38.7417
06/09/2014,37.2798
14/09/2014,37.8678
22/09/2014,40.9021
30/09/2014,32.3359
08/10/2014,40.1582
16/10/2014,32.2301
24/10/2014,42.0384
01/11/2014,37.7562
09/11/2014,31.0782
17/11/2014,32.1985
25/11/2014,36.9165
03/12/2014,32.4899
11/12/2014,28.4055
19/12/2014,30.2873
27/12/2014,22.3266
01/01/2015,27.8472
09/01/2015,34.5152
17/01/2015,35.7967
25/01/2015,38.7152
02/02/2015,41.7524
10/02/2015,34.229
18/02/2015,49.5729
26/02/2015,51.7348
06/03/2015,41.8924
14/03/2015,38.6317
22/03/2015,45.0067
30/03/2015,54.3659
07/04/2015,49.9272
15/04/2015,61.708
23/04/2015,52.6107
01/05/2015,53.8509
09/05/2015,49.2187
17/05/2015,46.7282
